label_s,idHal_s,idHal_i,idrefId_s
L. Barthe,laurie-barthe,1192862,https://www.idref.fr/124847412
Y.A. Tobon-Correa,ytobon,21882,https://www.idref.fr/223756709
Mickaël Petit,mickael-petit,17117,https://www.idref.fr/202975479
Jean François Petiot,jean-francois-petiot2,18217,https://www.idref.fr/066932815
Benoît Nennig,benoit-nennig,4602,https://www.idref.fr/148112382
E. Larose,eric-larose,738410,https://www.idref.fr/090866886
J. L. Faillie,jean-luc-faillie,753783,https://www.idref.fr/130986046
Philippe Schaeffer,philippe-schaeffer,178041,https://www.idref.fr/132078821
Frédéric Grandjean,frederic-grandjean,763488,https://www.idref.fr/059080825
Benoît. Dubacq,benoit-dubacq,11852,https://www.idref.fr/13971409X
Y. Mairesse,yann-mairesse,741115,https://www.idref.fr/092551033
Gerson Gerson Sunyé,sunye,2953,https://www.idref.fr/151750467
Caroline S. Cance,caroline-cance,8021,https://www.idref.fr/131853082
Jean-Marc Girault,jean-marc-girault,172008,https://www.idref.fr/167839101
J. C. Beugnot,jean-charles-beugnot,750535,https://www.idref.fr/143401483
James German,james-sneed-german,12455,https://www.idref.fr/253123062
Eddy Foy,eddy-foy,183251,https://www.idref.fr/25312462X
Ferre Sebastien,sebastienferre,1994,https://www.idref.fr/06939685X
W.E. Mackay,wendy-mackay,7073,https://www.idref.fr/130729523
E. Kaminsk,edouard-kaminski,176004,https://www.idref.fr/12718578X
Cécilia Zanni,cecilia-zanni-merk,15602,https://www.idref.fr/084091592
Bruno Francois,bruno-francois,18655,https://www.idref.fr/075960184
Salah Naïli,s-naili,4587,https://www.idref.fr/034059962
Robert Peyroux,robert-peyroux,10397,https://www.idref.fr/069693765
Olivier Buriez,olivier-buriez,738682,https://www.idref.fr/149659954
Benoît Crousse,benoit-crousse,181450,https://www.idref.fr/147528046
Sebastien Incerti,sebastien-incerti,184516,https://www.idref.fr/159332710
Y. Laurillau,yann-laurillau,5314,https://www.idref.fr/069458413
J. Mouginot,jeremie-mouginot,180238,https://www.idref.fr/139429867
Jean-Marc Andre,jean-marc-andre,17167,https://www.idref.fr/03343817X
M.L. Giorgi,marie-laurence-giorgi,19904,https://www.idref.fr/157168808
S. Panier,stephane-panier,17920,https://www.idref.fr/070448892
L. Vignollet,laurence-vignollet,10707,https://www.idref.fr/069817197
Stéphane Ginestar,stephane-ginestar,742069,https://www.idref.fr/143473042
J. Leconte,jeremy-leconte,180067,https://www.idref.fr/157870391
Baudouin de Senneville,baudouin-denis-de-senneville,13411,https://www.idref.fr/101018363
D. Alamarguy,david-alamarguy,6437,https://www.idref.fr/081093373
J. Contreras-García,julia-contreras-garcia,739065,https://www.idref.fr/197265693
G.L. Vignoles,gerard-vignoles,8801,https://www.idref.fr/070191875
Gwenael Jouannic,gwenael-jouannic,17861,https://www.idref.fr/166059595
Riad Yahiaoui,patrick-mounaix,10759,https://www.idref.fr/103916016
Gaël Choble,gael-choblet,179559,https://www.idref.fr/121840883
Frederic Deschaux-Beaume,frederic-deschaux-beaume,171869,https://www.idref.fr/165475889
Fabien Soulie,fabien-soulie,172830,https://www.idref.fr/074200534
David Parsons,david-parsons,3746,https://www.idref.fr/162011393
Eric Bidet,eric-bidet,1141708,https://www.idref.fr/034936688
Jean-Yves Chérot,jean-yves-cherot,8363,https://www.idref.fr/028291484
Valerie Gaudin,valerie-gaudin,1162697,https://www.idref.fr/081069154
Christian Bronner,christian-bronner,942996,https://www.idref.fr/110351827
J. Faure-Vincent,jerome-faure-vincent,746355,https://www.idref.fr/083692657
Etienne G J Danchin,danchin-etienne-gj,734755,"https://www.idref.fr/033644780,https://www.idref.fr/083014454"
Marie Laure Quilici,ml-quilici,735010,https://www.idref.fr/253135680
S. Corn,stephane-corn,20476,https://www.idref.fr/059626275
L. Romo,lucia-romo,1282369,https://www.idref.fr/161080154
J.B. Jean-Benoît Morin,jean-benoit-morin,18922,https://www.idref.fr/113270283
J. de Vos,john-de-vos,21972,https://www.idref.fr/060590254
C. Gwizdek,carole-gwizdek,742087,https://www.idref.fr/253128951
Vladimir Shevchik,vladimir-shevchik,742635,https://www.idref.fr/157585808
Marie-Pierre Chapot-Chartier,marie-pierre-chapot-chartier,1164709,https://www.idref.fr/073298441
Aleksandra M Walczak,walczak-aleksandra,738345,https://www.idref.fr/224745492
Nk M'Sirdi,k-nacer-msirdi,12947,https://www.idref.fr/061087823
M. Pagoni,maria-pagoni,12492,https://www.idref.fr/050714619
Roux Philippe,philippe-roux,178636,https://www.idref.fr/136486452
Rosny Julien De,julien-de-rosny,180263,https://www.idref.fr/089425332
Éric Desjardin,eric-desjardin-51-fr,174490,https://www.idref.fr/241034299
Amélie Guitart,amelievguitart,1264713,https://www.idref.fr/145076164
Andrea Slézia,pascale-quilichini,183846,https://www.idref.fr/088102300
Kévin Bailly,kevin-bailly,181765,https://www.idref.fr/178678244
Pauline Henri,pauline-henri,1248791,https://www.idref.fr/150320078
J.M. Chovelon,jean-marc-chovelon,10511,https://www.idref.fr/071524169
Hervé́ Verjus,herve-verjus,752014,https://www.idref.fr/147732344
Guillaume Le Hir,guillaume-le-hir,763763,https://www.idref.fr/200370219
Quentin Lampin,twatteyne,7662,https://www.idref.fr/144383101
Valois Fabrice,fabrice-valois,17521,https://www.idref.fr/112814085
Richard Patryk Ngondo-Mbongo,patryk-ngondo,739463,https://www.idref.fr/177067179
Lefebvre Antoine,antoine-lefebvre,9006,https://www.idref.fr/152506349
Corpetti Thomas,thomas-corpetti,2112,https://www.idref.fr/067284396
Nathalie Touze Foltz,nathalie-touze,736146,https://www.idref.fr/055781349
Laurent Mazeas,laurent-mazeas,748044,https://www.idref.fr/185868487
S. Laruelle,stephane-laruelle,6071,https://www.idref.fr/224531549
Kahn Daniel,daniel-kahn,169623,https://www.idref.fr/067147321
Ronel Bire,ronel-bire,972723,https://www.idref.fr/08905184X
Gaud Pinel,gaud-dervilly,746756,https://www.idref.fr/18894821X
J.C. Hippolyte,jean-claude-hippolyte,19588,https://www.idref.fr/152862897
Infante I. Canero,ingrid-canero-infante,18133,https://www.idref.fr/193084376
P.E. Janolin,pierre-eymeric-janolin,172044,https://www.idref.fr/187534004
C. Feidt,cyril-feidt,753113,https://www.idref.fr/092187013
F Marchal,frederic-marchal,737872,https://www.idref.fr/253379563
. Hachette & Cie Éditeurs,eliane-daphy,236,https://www.idref.fr/050679678
. Répertoire Plébins Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
Florent Lebon,florent-lebon,980424,https://www.idref.fr/155697943
Domenger Jean Philippe,jean-philippe-domenger,12410,https://www.idref.fr/060975776
J.Ph Boussemart,jean-philippe-boussemart,16965,https://www.idref.fr/033552134
Eglantine Guely,eglantine-guely-costa,2145,https://www.idref.fr/16437390X
Erdlenbruch Katrin,katrin-erdlenbruch,171176,https://www.idref.fr/087956330
Marc-Antoine Miville-Deschenes,marc-antoine-miville-deschenes,741816,https://www.idref.fr/078115361
R. Loubère,raphael-loubere,12020,https://www.idref.fr/069269858
Sophie Pénisson,sophie-penisson,15115,https://www.idref.fr/157570509
A. Dréau,anais-dreau,742188,https://www.idref.fr/177388617
Arnold Blaisonneau,arnold-blaisonneau,893206,https://www.idref.fr/069218420
I. Bombarda,bombarda-isabelle,19779,https://www.idref.fr/128028289
Gwenaël Imfeld,gimfeld,738385,https://www.idref.fr/178114383
Andre Chailloux,andre-chailloux,1670,https://www.idref.fr/15358372X
Jacques Gardon,jacques-gardon,21615,https://www.idref.fr/165713712
Brigitte Vinçon-Leite,brigitte-vincon-leite,375,https://www.idref.fr/163741964
Brice Termine-Roussel,brice-temime-roussel,16960,https://www.idref.fr/074334549
Dragoş Iftimie,diftimie,12375,https://www.idref.fr/131807021
Celia S. Bonnet,celia-bonnet,174787,https://www.idref.fr/11150175X
F. Frédéric Fabre,frederic-fabre,735831,https://www.idref.fr/083686339
L Cerutti,laurent-cerutti,18385,https://www.idref.fr/069263302
Jp. Guin,jean-pierre-guin,877,https://www.idref.fr/05937442X
C. Despas,christelle-despas,19550,https://www.idref.fr/158013263
E. Montargès-Pelletier,emmanuelle-montarges-pelletier,13624,https://www.idref.fr/152061932
A. Delalande,anthony-delalande,175082,https://www.idref.fr/178613525
Valérie Pujade-Renaud,valerie-pujade-renaud,739027,https://www.idref.fr/164684034
Michaël Fontaine,michael-fontaine,173811,https://www.idref.fr/143298348
Davide Franco,davide-franco,180994,https://www.idref.fr/18950045X
C. Petrone,caterina-petrone,172400,https://www.idref.fr/156862794
Patrick Gelin,patrick-gelin,10533,https://www.idref.fr/076899063
Pierre-Andre Caron,pierre-andre-caron,8284,https://www.idref.fr/117452181
Eric Clua,ericclua,1159894,https://www.idref.fr/056602626
Lucien Pirio,luc-pirio,742327,https://www.idref.fr/089289684
L. Bonhomme,laure-bonhomme,13618,https://www.idref.fr/253128870
C. Drag,cyril-drag,735968,https://www.idref.fr/192892657
V. Montety De,veronique-de-montety,173285,https://www.idref.fr/128889438
Cyril B. Labbé,clabbe,171160,https://www.idref.fr/181341050
Isabelle Sommier,isabelle-sommier,1215855,https://www.idref.fr/035400056
Julie Arnaud,julie-arnaud,1198315,https://www.idref.fr/184947804
Francois Bousquet,francois-bousquet,751904,https://www.idref.fr/074747835
M. Bahriz,michael-bahriz,19491,https://www.idref.fr/127660763
D Faurie,damien-faurie,748295,https://www.idref.fr/095054766
Y Roussigné,yves-roussigne,748338,https://www.idref.fr/168783487
J. P. A. M. de André,joao-pedro-athayde-marcondes-de-andre,735753,https://www.idref.fr/169670309
M. Day,joao-pedro-athayde-marcondes-de-andre,735753,https://www.idref.fr/169670309
J. P. A. M. de Andre,joao-pedro-athayde-marcondes-de-andre,735753,https://www.idref.fr/169670309
Rahmouni Rachid A.,rachid-rahmouni,175032,https://www.idref.fr/103960864
Boudvillain Marc,marc-boudvillain,21327,https://www.idref.fr/096361409
J. Perret-Liaudet,joelperret-liaudet,18244,https://www.idref.fr/071537082
Thérèse Falliero,therese-falliero,17042,https://www.idref.fr/154762512
Jérôme E. Roger,jerome-roger,8827,https://www.idref.fr/092083986
G. Ardila,gustavo-ardila,172136,https://www.idref.fr/129121894
Pierre Grussenmeyer,pierre-grussenmeyer,749150,https://www.idref.fr/035306858
Samuel Troncon,stroncon,8096,https://www.idref.fr/118387936
Thierry Condamines,thierry-condamines,7524,https://www.idref.fr/253129370
Michaël Weber,michael-weber,752076,https://www.idref.fr/078857430
Jerome Eeckhoute,jerome-eeckhoute,174724,https://www.idref.fr/094164177
Rut Carballido-Lopez,rut-carballido-lopez,748976,https://www.idref.fr/155680404
J. M. Herry,jean-marie-herry,745879,https://www.idref.fr/195476395
Christophe Proust,christophe-proust,740477,"https://www.idref.fr/034103755,https://www.idref.fr/034103155"
M'Hamed Sahnoun,mhammed-sahnoun,15524,https://www.idref.fr/123257867
A Razek,adel-razek,7454,https://www.idref.fr/069232423
H.Z. Li,huai-zhi-li,20058,https://www.idref.fr/033959366
Agnès Henriot van Zanten,agnes-van-zanten,741271,https://www.idref.fr/030023459
Caroline Berenguer,daize-berenguer-caroline,20794,https://www.idref.fr/253129907
Lionel Teulé-Gay,lionel-teule-gay,1216688,https://www.idref.fr/267056249
Frederic Jamme,frederic-jamme,12798,https://www.idref.fr/23194537X
Matthieu Refregiers,matthieu-refregiers,12745,https://www.idref.fr/083268685
L. Popovitch,laurent-popovitch,9769,https://www.idref.fr/117701572
Olivier Jacques Manzoni,olivier-manzoni,13735,https://www.idref.fr/072288183
Jean Louis Hazemann,jean-louis-hazemann,172032,https://www.idref.fr/078043174
S. Ribes,sandrine-frayssinhes,1238013,https://www.idref.fr/115666915
Christian-George Bénar,christian-g-benar,183494,https://www.idref.fr/187234825
Joël Doré,joel-dore,1206301,https://www.idref.fr/069752249
Claire Corratgé-Faillie,claire-corratge-faillie,1156262,https://www.idref.fr/077273672
F Rossi,francesca-rossi,180428,https://www.idref.fr/199122504
G Henrion,gerard-henrion,172347,https://www.idref.fr/130897620
M Mikikian,maxime-mikikian,2830,https://www.idref.fr/176883800
Remi Geiger,remi-geiger,973167,https://www.idref.fr/15701102X
Hugo Raguet,hugo-raguet,3748,https://www.idref.fr/181775468
Philippe Delanoe,philippe-delanoe,7953,https://www.idref.fr/074452398
Julie Demars,julie-demars,736964,https://www.idref.fr/192401297
Sébastien Popoff,sebastien-popoff,740643,https://www.idref.fr/160494664
Gisele Bonne,gisele-bonne,183818,https://www.idref.fr/075894920
O. Crumeyrolle,olivier-crumeyrolle,19941,https://www.idref.fr/069345902
Cedric Gaucherel,cedric-gaucherel,177933,https://www.idref.fr/151843953
L. Bamiere,laure-bamiere,744536,https://www.idref.fr/185925359
Jean-Charles Sautet,jean-charles-sautet,174990,https://www.idref.fr/08846069X
Adriana Miele,adriana-erica-miele,18507,https://www.idref.fr/179738666
D. Barthélemy,daniel-barthelemy,752238,https://www.idref.fr/033483809
Q. Rafhay,quentin-rafhay,170409,https://www.idref.fr/140482199
M. G. Pala,marco-pala,178951,https://www.idref.fr/185867715
I. Ionica,irina-ionica,170880,https://www.idref.fr/108496651
E. Lamouroux,emmanuel-lamouroux,21604,https://www.idref.fr/243678975
A. Boudier,ariane-boudier,17121,https://www.idref.fr/128201592
M. Perrin-Terrin,perrin-terrin,741779,https://www.idref.fr/179269666
Fabien Lienard,fabien-lienard,172726,https://www.idref.fr/137710887
Jérôme Gateau,jerome-gateau,16004,https://www.idref.fr/151120064
Maël Le Treust,mael-le-treust,4065,https://www.idref.fr/157418472
Klein Olivier,oklein,15458,https://www.idref.fr/095107231
C. Douilliez,cdouilliez,1804,https://www.idref.fr/183286693
T. Mineva,tzonka-mineva,743255,https://www.idref.fr/167712985
A. Kaminski-Cachopo,anne-kaminski-cachopo,170356,https://www.idref.fr/09511341X
Nicolas Puff,nicolas-puff,176232,https://www.idref.fr/243321112
Raphael Rapetti-Mauss,raphael-rapetti-mauss,738397,https://www.idref.fr/170016048
Dimitri Mercier,dimitri-mercier,21062,https://www.idref.fr/111086981
Ahmed Naitabdi,ahmed-naitabdi,1216447,https://www.idref.fr/10988731X
S. Conway,susan-conway,171124,https://www.idref.fr/228939828
J. F. Betzer,jean-francois-betzer,175813,https://www.idref.fr/15800941X
Leite-De-Moraes M.C.,maria-do-carmo-leite-de-moraes,736894,https://www.idref.fr/09147230X
B. Massot,bertrand-massot,21648,https://www.idref.fr/164022791
Olivier Le Contel,olivier-le-contel,182560,https://www.idref.fr/234090782
G. Sarret,geraldine-sarret,738344,https://www.idref.fr/145642712
E. Montarges,emmanuelle-montarges-pelletier,13624,https://www.idref.fr/152061932
P. Longere,patrice-longere,19307,https://www.idref.fr/076632067
C. Laux,christophe-laux,182888,https://www.idref.fr/116055790
J. Bechade,jean-luc-bechade,170205,https://www.idref.fr/03363047X
E. Lefevre,eric-lefevre,748165,https://www.idref.fr/081781237
A. Yu Pasko,alexandre-pasko,17046,https://www.idref.fr/204036291
L. Orgéas,laurent-orgeas,15227,https://www.idref.fr/113732570
F. Parent,florence-parent,185021,https://www.idref.fr/17655663X
H. Maher,hassan-maher,754932,https://www.idref.fr/078124980
G. Houzet,gregory-houzet,171621,https://www.idref.fr/140767088
M. Uyttewaal,magalie-uyttewaal,1165912,https://www.idref.fr/122997476
K. Hammani,kamal-hammani,14602,https://www.idref.fr/160722144
Jérôme Sallet,jerome-sallet,739715,https://www.idref.fr/229787479
T. Cauchy,thomas-cauchy,183495,https://www.idref.fr/137559232
J.-C. Poggiale,jean-christophe-poggiale,19867,https://www.idref.fr/083601856
Franck Guy,franck-guy,740923,https://www.idref.fr/059207779
F. Lamnabhi Lagarrigue,francoise-lamnabhi-lagarrigue,169962,https://www.idref.fr/032925735
Jean-Pascal Borra,289945,740082,https://www.idref.fr/060760168
C. Odin,christophe-odin,2838,https://www.idref.fr/150387636
Omar Boussaid,omar-boussaid,172986,https://www.idref.fr/074555081
T.W. Cornelius,thcornelius,18168,https://www.idref.fr/200023373
P. Gégout,pascal-gegout,738431,https://www.idref.fr/233138307
Céline Brochier-Armanet,celine-brochier-armanet,178614,https://www.idref.fr/142968455
Ludovic D.C. Jaubert,ludovic,14245,https://www.idref.fr/191788627
Delphine Kolesnik-Antoine,delphine-antoine-mahut,172587,https://www.idref.fr/035732547
Cristina Stoica,cristina-stoica-maniu,18945,https://www.idref.fr/231867581
Jérôme Bouchet,jeromebouchet,740245,"https://www.idref.fr/144621908,https://www.idref.fr/250259974"
I. Mokbel,ilham-mokbel,178296,https://www.idref.fr/086480138
Olivier Cateura,olivier-cateura,1252329,https://www.idref.fr/12119602X
F. Grasset,fabien-grasset,10745,https://www.idref.fr/142536318
Stéphane Réty,stephane-rety,178257,https://www.idref.fr/171681126
G. Dirberg,guillaume-dirberg,181238,https://www.idref.fr/253121272
Fabien Robert-Peillard,fabien-robert-peillard,17020,https://www.idref.fr/112368220
Sergey Nikitenko,sergey-nikitenko,172034,https://www.idref.fr/148629180
Y. Lembeye,yves-lembeye,746007,https://www.idref.fr/114368767
Franck Morfin,franck-morfin,173754,https://www.idref.fr/126514194
Jean-Luc Rousset,jean-luc-rousset,10561,https://www.idref.fr/12509521X
F. Giacomoni,giacomoni-franck,181685,https://www.idref.fr/253126916
Mohamed Abbas-Turki,mabbas,18714,https://www.idref.fr/09741459X
N. Greenan,nathalie-greenan,1441,https://www.idref.fr/034562370
Valérie Keller-Spitzer,valerie-keller,742395,https://www.idref.fr/079431097
Fabien Bonnet,fabien-bonnet,3627,https://www.idref.fr/168703882
Pierre Louis Taberna,pierre-louis-taberna,740864,https://www.idref.fr/072323361
M. Moret,matthieu-moret,745256,https://www.idref.fr/068921381
S. Djouad,selim-djouad,171239,https://www.idref.fr/253124743
Tomo Suzuki,tomosuzuki-muresan,169535,https://www.idref.fr/11651292X
Benjamin Kadoch,benjamin-kadoch,183811,https://www.idref.fr/151910537
Alain Faivre-Chauvet,alain-chauvet,741786,https://www.idref.fr/077308069
Didier Desmaële,didier-desmaele,739286,https://www.idref.fr/069413797
Gustavo Aldolfo Ardila Rodriguez,gustavo-ardila,172136,https://www.idref.fr/129121894
Minus van Baalen,minusvanbaalen,741513,https://www.idref.fr/077932080
M.-A. Miville-Deschenes,marc-antoine-miville-deschenes,741816,https://www.idref.fr/078115361
J.-P. Chapel,jean-paul-chapel,738637,https://www.idref.fr/086695266
J. Fresnais,jerome-fresnais,10310,https://www.idref.fr/081298862
Catherine Sautès-Fridman,catherine-sautes-fridman,887702,https://www.idref.fr/089053273
S. Durrieu,sylvie-durrieu,13573,https://www.idref.fr/18384968X
C. Montigny,cedric-montigny,739880,https://www.idref.fr/08299157X
M. Collot,mayeul,739469,https://www.idref.fr/131108298
Jm Mallet,jean-maurice-mallet,740429,https://www.idref.fr/033976996
N. Loiseau,nicolas-loiseau,182810,https://www.idref.fr/071336338
P. Lafite,pierre-lafite,751038,https://www.idref.fr/143719491
F. André,frederic-andre,170414,https://www.idref.fr/185079733
Emmanuelle Vulliet,emmanuelle-vulliet,1010944,https://www.idref.fr/071523863
Gabrielle Melison-Hirchwald,gabrielle-hirchwald,741937,"https://www.idref.fr/316399019,https://www.idref.fr/163990190"
C. van Heijenoort,carine-van-heijenoort,742733,https://www.idref.fr/137283792
Valérie Jousseaume,valerie-jousseaume,11506,https://www.idref.fr/050210475
N. Maillet,nicolas-maillet,184824,https://www.idref.fr/176035834
V. Chavagnac,valerie-chavagnac,178961,https://www.idref.fr/057671168
Matthieu Rouleau,matthieu-rouleau,740579,https://www.idref.fr/111284805
C. Favard,cyril-favard,178656,https://www.idref.fr/172175151
Stéphane Chevalier,sylvie-chevalier,179400,https://www.idref.fr/162092970
N. Fourrié,nadia-fourrie,176844,https://www.idref.fr/147211158
V. Guidard,vincent-guidard,3184,https://www.idref.fr/123400023
Cécile Crespy,cecile-crespy,1254901,https://www.idref.fr/113999666
Andrew Gilbert,maxime-guilbaud,177174,https://www.idref.fr/236157566
Emmanuelle d'Alençon,emmanuelle-dalencon,1173504,https://www.idref.fr/175624879
Eric H. Oelkers,eric-oelkers,750111,https://www.idref.fr/069907226
F. d'Ortenzio,fabrizio-dortenzio,169942,https://www.idref.fr/179752502
Maria Leite de Moraes,maria-do-carmo-leite-de-moraes,736894,https://www.idref.fr/09147230X
Anastassia Yu. Borisova,anastassia-borisova,739650,https://www.idref.fr/232624143
C. L. Chen,chunlong-chen,739543,https://www.idref.fr/126206570
M. Rieu,mathilde-rieu,737890,https://www.idref.fr/142879827
E.H. Oelkers,eric-oelkers,750111,https://www.idref.fr/069907226
F. Chalon,florent-chalon,17165,https://www.idref.fr/061330787
I. Adt,isabelle-adt,181539,https://www.idref.fr/071216170
Raphaele Germi,raphaele-germi,735993,https://www.idref.fr/059509104
S. Caubet,stephane-duvezin-caubet,740789,https://www.idref.fr/259023892
F. Turbout,frederique-turbout,169656,https://www.idref.fr/06910705X
L. Berti-Équille,laure-berti-equille,19540,https://www.idref.fr/130675725
V. Goasdoué,virginie-thion,3516,https://www.idref.fr/084253967
E. Tournié,eric-tournie,18604,https://www.idref.fr/077085035
J. Boch,jerome-boch,18222,https://www.idref.fr/076170632
K. Castellani-Coulié,karine-coulie,19592,https://www.idref.fr/072405902
J. Popovici,jean-popovici,754990,https://www.idref.fr/134210441
Cedric Demonceaux,cedric-demonceaux,3900,https://www.idref.fr/093832575
El Mustapha Mouaddib,e-mouaddib,5058,https://www.idref.fr/100511996
F. Fonseca,fernanda-fonseca,177024,https://www.idref.fr/057054649
Sainctavit Ph.,philippe-sainctavit,741897,https://www.idref.fr/070680523
Jérôme Vergne,jerome-vergne,170255,https://www.idref.fr/069318255
Edouard Metzger,edouard-metzger,180974,https://www.idref.fr/204694760
M. Benedetti,marc-f-benedetti,181021,https://www.idref.fr/032902832
M. Benedetti,pascal-reiller,7397,https://www.idref.fr/146452577
I. Nasteva,elisabeth-niel,749836,https://www.idref.fr/258244909
M. Gateau,matthieu-gateau,13116,https://www.idref.fr/12161381X
L. Ramond,laure-ramond,183624,https://www.idref.fr/161028861
F. Can,xavier-courtois,742935,https://www.idref.fr/069648794
Sébastien Lefevre,sebastien-lefevre,3219,https://www.idref.fr/113437773
Bertrand B. Couasnon,bertrand-couasnon,5048,https://www.idref.fr/077114094
Mylene Weill,mylene-weill,170754,https://www.idref.fr/101516495
C. Dubessy,christophe-dubessy,179355,https://www.idref.fr/140174966
C. Morlay,catherine-morlay,173614,https://www.idref.fr/10937004X
D. Pontier,dominique-pontier,181975,https://www.idref.fr/069068410
Harold Mouch?e,harold-mouchere,3286,https://www.idref.fr/124893929
Cécile Autret-Lambert,cecile-autret,18337,https://www.idref.fr/070140855
Antoine Ruyter,antoine-ruyter,19521,https://www.idref.fr/133283674
R. Melot,romain-melot,743748,https://www.idref.fr/078882540
M. Fustier,marie-fustier-boutignon,739577,https://www.idref.fr/177171731
Freddy Odille,freddy-odille,746717,https://www.idref.fr/120678071
L. Chaloin,laurent-chaloin,739922,https://www.idref.fr/188911863
G. Paris,guillaume-paris,174820,https://www.idref.fr/163245487
Notingher Jr P.,petru-notingher,21254,https://www.idref.fr/059859393
J.-L. Seidel,jean-luc-seidel,21241,https://www.idref.fr/113396201
K.G. Arun,stanislav-babak,738776,https://www.idref.fr/251073904
Blichert-Toft Janne,janne-blichert-toft,738546,https://www.idref.fr/111062624
C. Sanloup,chrystele-sanloup,11862,https://www.idref.fr/091939402
Teodor Tiplica,teodor-tiplica,182269,https://www.idref.fr/070943559
Raphael Pik,raphael-pik,175884,https://www.idref.fr/161839479
Hervé Watier,herve-watier,180174,https://www.idref.fr/06713470X
Pierre Louis Goossens,goossens-pl-goossens,747692,https://www.idref.fr/16561952X
D. Tanguy,dome-tanguy,17208,https://www.idref.fr/18907311X
David Delafosse,david-delafosse,329,https://www.idref.fr/057384258
Benoit Cerutti,benoit-cerutti,738680,https://www.idref.fr/14587172X
Gaël Simon,gael-simon,746333,https://www.idref.fr/193887215
Agnès Dechartres,agnes-dechartres,1087261,https://www.idref.fr/139566716
Bénédicte Elena-Herrmann,benedicte-elena-herrmann,178268,https://www.idref.fr/160555809
Jean-Christophe Andrau,jean-christophe-andrau,740768,https://www.idref.fr/153245352
O. Bouriaud,olivier-bouriaud,743339,https://www.idref.fr/203591917
J. Geringer,jean-geringer,745299,https://www.idref.fr/110519833
C. François,clement-francois,173204,https://www.idref.fr/155474146
Daniel Bouchez,carre-na-eunjoo,7041,https://www.idref.fr/229161405
Vincent Semetey,vincent-semetey,741624,https://www.idref.fr/107695537
M. -A. Miville-Deschênes,marc-antoine-miville-deschenes,741816,https://www.idref.fr/078115361
R. Quey,quey-romain,20901,https://www.idref.fr/13556994X
Lionel Franz Poulin,lionel-poulin,740884,https://www.idref.fr/198062907
Annemarie Coffman Lellouch,annemarie-lellouch,742693,https://www.idref.fr/253128293
Joel Dore,joel-dore,1206301,https://www.idref.fr/069752249
M. P. Chapot-Chartier,marie-pierre-chapot-chartier,1164709,https://www.idref.fr/073298441
V. Juillard,vincent-juillard,736575,https://www.idref.fr/060929111
Veronique Monnet,veronique-monnet,735682,https://www.idref.fr/031402534
Jeanne-Marie Membre,jeanne-marie-membre,736751,https://www.idref.fr/167001388
V. Martinet,vincent-martinet,747013,https://www.idref.fr/092276997
J. Casalinho,joel-casalinho,8203,https://www.idref.fr/253119308
D. Marage,damien-marage,16867,https://www.idref.fr/087893746
P.-J. Liotier,pierre-jacques-liotier,1122848,https://www.idref.fr/133205622
M. Gorram,mohamed-gorram,9179,https://www.idref.fr/136527957
Anne-Emmanuelle Hay,anne-emmanuelle-hay,744558,https://www.idref.fr/161482430
Gaelle Gueguen Hallouet,gaelle-gueguen-hallouet,182181,https://www.idref.fr/075940736
Pegguy Chekroun,peggy-chekroun,180951,https://www.idref.fr/069675694
Pëgguy Chekroun,peggy-chekroun,180951,https://www.idref.fr/069675694
Maxime L'Heritier,maxime-lheritier,12441,https://www.idref.fr/116414014
V. Lesur,vincent-lesur,176142,https://www.idref.fr/118280317
Thierry Baron,thierry-baron,739925,https://www.idref.fr/130661813
Anna Bencsik,anna-bencsik,14794,https://www.idref.fr/204604125
Edwige Camp,edwige-camp,1246051,https://www.idref.fr/11119119X
Sophie Boutillier,sophie-boutillier,853407,https://www.idref.fr/031062423
Frédéric Béjina,frederic-bejina,178544,https://www.idref.fr/198391218
Pascale Bénézeth,pascale-benezeth,174955,https://www.idref.fr/163808430
Anne Charmantier,anne-charmantier,741841,https://www.idref.fr/113985886
Krinner Gerhard,gerhard-krinner,170087,https://www.idref.fr/097675865
José Darrozes,jdarrozes,997129,https://www.idref.fr/075924196
Jean P Lachaud,jean-paul-lachaud,175138,https://www.idref.fr/035823569
J. L. Probst,jean-luc-probst,178393,https://www.idref.fr/033169713
G. Le Hir,guillaume-le-hir,763763,https://www.idref.fr/200370219
D. Cardinal,damien-cardinal,184611,https://www.idref.fr/119090988
Audrey Michaud,audrey-michaud,172077,https://www.idref.fr/117491381
Eric Oelkers,eric-oelkers,750111,https://www.idref.fr/069907226
E. H. Oelkers,eric-oelkers,750111,https://www.idref.fr/069907226
Didier Ménard,didier-menard,184372,https://www.idref.fr/117629006
F. Poitrasson,franck-poitrasson,180418,https://www.idref.fr/069893187
Pascal P Thérond,laurent-ruel,752592,https://www.idref.fr/077039165
C. Miramont,cecile-miramont,169720,https://www.idref.fr/07501727X
S El Kirat Chatel,sofiane-el-kirat-chatel,19552,https://www.idref.fr/253127041
A. Migan-Dubois,anne-migan,5986,https://www.idref.fr/183916492
Raphael Janot,raphael-janot,178860,https://www.idref.fr/059443987
V. Bonnardot,valerie-bonnardot,2231,https://www.idref.fr/166607606
Fabrice Pierre,fpierreinrae,746525,"https://www.idref.fr/029584574,https://www.idref.fr/23236088X"
Mioara Maria Joldes,mioara-joldes,735561,https://www.idref.fr/156990415
