label_s,idHal_s,idHal_i,idrefId_s
. L. Bathlot Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
. Répertoire Paulus,eliane-daphy,236,https://www.idref.fr/050679678
. Delormel & Cie Éditeurs,eliane-daphy,236,https://www.idref.fr/050679678
M. Thyssen,melilotus-thyssen,19953,https://www.idref.fr/127365613
P. Claquin,pascal-claquin,181237,https://www.idref.fr/080269907
M. Grandgeorge,marine-grandgeorge,8304,https://www.idref.fr/157921751
O. Maciejak,olek-maciejak,173812,https://www.idref.fr/253125340
B. Schoefs,benoit-schoefs,181934,https://www.idref.fr/122198247
J.-L. Mouget,jean-luc-mouget,15427,https://www.idref.fr/160475570
M. Sedrati,mouncef-sedrati,179756,https://www.idref.fr/115669604
C. Piscart,christophe-piscart,177623,https://www.idref.fr/095783016
Thomas Cerqueus,thomas-cerqueus,4386,https://www.idref.fr/169902013
Amel Ben Rhouma,amel-ben-rhouma,1260023,https://www.idref.fr/121820866
Amir Pasha Mirbaha,amir-pasha-mirbaha,1655,https://www.idref.fr/170656608
F. Dolique,franck-dolique,183932,https://www.idref.fr/09043174X
J. B de Vivie,jean-baptiste-de-vivie,741567,https://www.idref.fr/186392702
J.L. Mouget,jean-luc-mouget,15427,https://www.idref.fr/160475570
A. Rovelet-Lecrux,anne-rovelet-lecrux,178525,https://www.idref.fr/127676732
Lars Stemmann,lars-stemmann,762924,https://www.idref.fr/157238024
Pierre Béjot,pierrebejot,739035,https://www.idref.fr/228389054
Frederic Rieux-Laucat,frederic-rieux-laucat,1062914,https://www.idref.fr/086828509
Emeric Henry,emeric-henry,1114203,https://www.idref.fr/224319914
P. Gaborit,paul-gaborit,19889,https://www.idref.fr/196930839
G. Lipeme Kouyi,gislainlipeme-kouyi,19162,https://www.idref.fr/096266821
Benoit Palancade,benoit-palancade,738471,https://www.idref.fr/071046380
B. Normand M.P. Gigandet C. Richard P. Steyer M. Wery,philippe-steyer,21303,https://www.idref.fr/081227272
J.M. Monnet,jean-matthieumonnet,4558,https://www.idref.fr/156959569
C. Yang J. Buldyreva I.E. Gordon F. Rohart A. Cuisset G. Mouret R. Bocquet F. Hindle,acuisset,744427,https://www.idref.fr/083810854
Christine Verna,christine-verna,741686,https://www.idref.fr/116466251
C.-S. Cojocaru,costel-sorin-cojocaru,178299,https://www.idref.fr/080831087
X. Jehl,xavier-jehl,172133,https://www.idref.fr/176333630
Montgomery P.C.,paul-c-montgomery,740454,https://www.idref.fr/071065229
S.D. Vincent,stephane-d-vincent,749094,https://www.idref.fr/188839666
L. Nouveliere,nouveliere-lydie,754001,https://www.idref.fr/071043896
A. Fremont,antoine-fremont,177453,https://www.idref.fr/050263080
Catherine Ottlé,catherine-ottle,180141,https://www.idref.fr/118112082
. Vve Charles Mayol Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
Clément Rossignol,camille-rossignol,10946,https://www.idref.fr/185511414
C. Cottin-Bizonne,cecile-cottin-bizonne,184124,https://www.idref.fr/05075906X
H. Guizouarn,helene-guizouarn,740193,https://www.idref.fr/175320306
H. Tronchere,herve-tronchere,8652,https://www.idref.fr/154483877
L. Leclercq,laurent-leclercq,178184,https://www.idref.fr/119229935
C. Blanquart,christophe-blanquart,182432,https://www.idref.fr/079241417
Cécile Mangavel,cecile-mangavel,175209,https://www.idref.fr/124223648
Bao Ton-Hoang,bao-ton-hoang,1195268,https://www.idref.fr/13520884X
Matthieu Falque,matthieu-falque,746718,https://www.idref.fr/080611222
Manon Joseph,manon-bartoli,19873,https://www.idref.fr/253121752
R. Trigui,rochdi-trigui,180004,https://www.idref.fr/151608377
B. Gadegbeku,blandine-gadegbeku,178382,https://www.idref.fr/168213826
Nathalie Bouscharain,nathalie-bouscharain,174036,https://www.idref.fr/253134412
O. Montagnier,olivier-montagnier,8619,https://www.idref.fr/098844202
S. Bellizzi,sergio-bellizzi,8321,https://www.idref.fr/077713788
Behzad Shariat Torbaghan,behzad-shariat,7859,https://www.idref.fr/069011265
D. Tardivo,delphine-tardivo,20138,https://www.idref.fr/124776728
Nathalie C. Guérineau,nathalie-c-guerineau,172564,https://www.idref.fr/06998798X
Benoit Valiron,benoit-valiron,4511,https://www.idref.fr/241835704
Véronique Decot,veronique-decot,19141,https://www.idref.fr/078009774
Thomas F Baumert,thomas-f-baumert,740312,https://www.idref.fr/143387898
J.L Schanen,jean-luc-schanen,744386,https://www.idref.fr/104511060
X. Carcopino,xavier-carcopino,174053,https://www.idref.fr/071568956
Hèlène Claudot-Hawad,helene-claudot-hawad,5112,https://www.idref.fr/02679053X
Laurent Tiret,laurenttiret,742932,https://www.idref.fr/150687737
L. Matignon,laetitia-matignon,3290,https://www.idref.fr/134644239
V. Daele,veronique-daele,175159,https://www.idref.fr/183874854
Murat Saparbaev,murat-saparbaev,180253,https://www.idref.fr/191292133
Sandrine Auger,sandrine-auger,735482,https://www.idref.fr/076689271
Christine Faille,christine-faille,1162349,https://www.idref.fr/033724415
Daniel George,daniel-george,1100254,https://www.idref.fr/178888826
Annette De Vaufleury,annette-de-vaufleury,2813,https://www.idref.fr/151547610
D. Chevallier,damien-chevallier,184983,https://www.idref.fr/130293008
Chambon Sylvain,sylvain-chambon,11024,https://www.idref.fr/113700431
Christophe T. Soulard,christophe-toussaint-soulard,736038,https://www.idref.fr/157717283
M.-C. Anstett,anstett-marie-charlotte,14845,https://www.idref.fr/253126029
Bénédicte Batrancourt,benedicte-batrancourt,888472,https://www.idref.fr/09144912X
. G. Ondet Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
Thomas Dugé de Bernonville,thomas-duge-de-bernonville,175806,https://www.idref.fr/145470113
Cormier Laurent,laurent-cormier,177070,https://www.idref.fr/170528456
J. Mascetti,joelle-mascetti,749959,https://www.idref.fr/226905381
Agnès Maître,agnes-maitre,735420,https://www.idref.fr/144361833
. Edouard Jouve Éditeur,eliane-daphy,236,https://www.idref.fr/050679678
S. Clavel,sandrine-clavel,1033015,https://www.idref.fr/130236322
Ariane Lancon,ariane-lancon,746427,https://www.idref.fr/03581537X
Isabelle Boehm,isabelle-boehm,12529,https://www.idref.fr/069658560
J.-P. Sizun,jp-sizun,14637,https://www.idref.fr/200258486
Elodie Laine,elodie-laine,1102065,https://www.idref.fr/143454927
Magali Morales,magali-morales,744828,https://www.idref.fr/162464037
G. Hulot.,gauthier-hulot,742343,https://www.idref.fr/057610576
Mickael Kerboeuf,mickael-kerboeuf,5626,https://www.idref.fr/069393583
L. Romagnani,lorenzo-romagnani,741268,https://www.idref.fr/253122163
Mathe P.E.,pierre-etienne-mathe,21196,https://www.idref.fr/099025744
Helene Beaunieux,helene-beaunieux,177021,https://www.idref.fr/156503980
Mathé P.-E.,pierre-etienne-mathe,21196,https://www.idref.fr/099025744
Mourad Bouneffa,mourad-bouneffa,762917,https://www.idref.fr/06386682X
Mercier de Lepinay B.,bernard-mercier-de-lepinay,179925,https://www.idref.fr/16736040X
E. Goberville,eric-goberville,176103,https://www.idref.fr/14918817X
Thomas Daniel,dominique-thomas,9557,https://www.idref.fr/098491148
L. Ismaili,lhassane-ismaili,753049,https://www.idref.fr/086821970
Jean Luc Jung,jean-luc-jung,737863,https://www.idref.fr/220475709
Michel Broquier,michel-broquier,740225,https://www.idref.fr/25313367X
Cédric Boissière,cedric-boissiere,173526,https://www.idref.fr/067332773
H. Chalal,hocinechalal,741018,https://www.idref.fr/094339252
